Company Name,Brand Name,Model,Series,Product Type,Screen Type,Screen Size,Screen Area (sq. inches),Resolution,Auto- matic Bright- ness Control?,Is Automatic Brightness Control enabled by default when Television is shipped?,On Mode Power (watts),Maximum On Mode Power for Qual- ification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power for Qual- ification (watts),Lum- inance in Default Mode as Shipped (cd/m2),Lum- inance in Brightest Selectable Preset Mode (cd/m2),Average Download Acqui- sition Mode (DAM) Energy (Wh/day),Maximum DAM Energy for Qual- ification (Wh/ day), Typical Electricity Con- sumption (TEC) for Hospitality TVs (W-h/day),Maxi- mum Allowed TEC for Hospi- tality TVs (W-h/day),Estimated Annual Energy Con- sumption (kWh/ year),Date Qualified
AmTRAN Video Corporation,JVC,JLE47BC3001,JLE47BC3001,Television (TV),LCD,47,945,1920 x 1080,Yes,Yes,70.3,97.4,0.2,1,360,398,N/A,,,,129.7,08/22/2011 07:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLE32BC3001,JLE32BC3001,Television (TV),LCD,32,438,1920 x 1080,Yes,Yes,50.2,55,0.3,1,321,341,N/A,,,,93.7,08/02/2011 07:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLC42BC3000,JLC42BC3000,Television (TV),LCD,42,754,1920 x 1080,Yes,Yes,76.3,81.3,0.3,1,354,445,N/A,,,,141.3,06/29/2011 07:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLC37BC3000,JLC37BC3000,Television (TV),LCD,37,583,1920 x 1080,Yes,Yes,65.2,67,0.3,1,350,449,N/A,,,,121.1,06/27/2011 07:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLC32BC3002,JLC32BC3002,Television (TV),LCD,32,438,1366 x 768,Yes,Yes,49.3,54.8,0.4,1,235,321,N/A,,,,92.7,02/06/2012 08:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLE42BC3001,JLE42BC3001,Television (TV),LCD,42,754,1920 x 1080,Yes,Yes,62.8,81.3,0.3,1,373,473,N/A,,,,116.7,08/22/2011 07:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLE37BC3001,JLE37BC3001,Television (TV),LCD,37,583,1920 x 1080,Yes,Yes,63.3,67,0.3,1,321,328,N/A,,,,117.6,08/02/2011 07:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLC32BC3000,JLC32BC3000,Television (TV),LCD,32,438,1920 x 1080,Yes,Yes,51.3,54.8,0.3,1,322,458,N/A,,,,95.7,08/11/2011 07:00:00 AM +0000
AmTRAN Video Corporation,JVC,JLC47BC3000,JLC47BC3000,Television (TV),LCD,47,945,1920 x 1080,Yes,Yes,92.4,97.4,0.3,1,377,527,N/A,,,,170.7,06/29/2011 07:00:00 AM +0000
Ario,ARIO,LCD-TV,FC4669,Television (TV),LCD,46,926,1920 x 1080,No,No,90.63,95.76,0.212,1,107.12,132.78,N/A,,,,186.87,12/02/2011 08:00:00 AM +0000
Ario,ARIO,"LCD TV/ HC3269, HC32XX; LED TV/HE3270, HE32XX","HE3270, HE32XX, 
HC3269, HC32XX",Television (TV),LCD/LED,32,422,1366x768,No,No,49.9,53,0.445,1,237,257,N/A,,,,,09/19/2011 07:00:00 AM +0000
Ario,ARIO,FE2270,FE2270,Television (TV),LCD,22,196,1920x1080,No,No,28.9,31,0.425,1,225.4,238.4,N/A,,,,,12/06/2011 08:00:00 AM +0000
"Beijing BOE Display Technology Co., LTD",BOE,LCD TV,TE315HA0-210-4000,Television (TV),LCD,32,425,1366 x768,No,No,,44,0.3,,245,265,N/A,,,,82.4,12/23/2011 08:00:00 AM +0000
