,brand,return_name,display_size,processor_type,graphics_card,price,ratings_5max,HDD,ssd
0,4,Notebook 14-df0008nx,14.0,3,1,1259.0,0 / 5,1,256
1,6,IdeaPad 330S-14IKB,14.0,5,2,2099.0,3.3 / 5,1,256
2,5,MateBook D Volta,14.0,5,1,3799.0,0 / 5,1,256
3,3,Inspiron 15 3567,15.6,3,1,1849.0,0 / 5,1,256
4,2,VivoBook 15 X510UR,15.6,7,1,3149.0,0 / 5,2,512
5,3,Vostro 5471,14.0,7,2,3799.0,3.8 / 5,2,512
6,1,MacBook Air (Retina),13.3,5,1,5199.0,4.0 / 5,1,256
7,5,MateBook D,15.6,5,1,2799.0,4.4 / 5,1,256
8,5,MateBook X Pro,13.88,5,1,5999.0,0 / 5,1,256
9,4,14-cf0007nx,14.0,5,1,2629.0,0 / 5,1,256
10,4,15-db0001nx,15.6,5,1,1999.0,0 / 5,1,256
11,0,Swift 5,14.0,7,1,5999.0,0 / 5,2,512
12,1,MacBook Air,13.3,5,1,4499.0,0 / 5,1,256
13,0,Swift 5 SF514-52TP-8933,14.0,7,2,5999.0,0 / 5,2,512
14,1,MacBook Pro (Retina + Touch Bar),15.4,7,2,10199.0,0 / 5,2,512
15,0,Swift 3 SF314-52G,14.0,7,1,4399.0,0 / 5,2,512
16,1,MacBook Pro (Retina + Touch Bar),13.3,5,1,8499.0,4.4 / 5,1,256
17,1,MacBook Pro (Retina + Touch Bar),13.3,5,1,7769.0,4.3 / 5,1,256
18,5,MateBook 13,13.0,7,1,4999.0,4.1 / 5,2,512
19,1,MacBook Air (Retina),13.3,5,1,6099.0,3.9 / 5,1,256
20,3,XPS 13 9380,13.3,5,2,5399.0,4.4 / 5,1,256
21,4,Pavilion 13-an0001nx,13.3,7,2,3999.0,0 / 5,2,512
22,1,MacBook Air (Retina),13.3,5,1,6099.0,4.0 / 5,1,256
23,1,MacBook Air (Retina),13.3,5,1,6099.0,3.9 / 5,1,256
24,4,Pavilion 14-ce0001nx,14.0,7,1,4199.0,0 / 5,2,512
25,1,MacBook Air (Retina),13.3,5,1,5199.0,3.9 / 5,1,256
26,4,Pavilion 14-ce0000nx,14.0,7,1,4199.0,5.0 / 5,2,512
27,1,MacBook Air (Retina),13.3,5,1,5199.0,3.9 / 5,1,256
28,5,MateBook D Volta,14.0,7,1,4199.0,0 / 5,2,512
29,2,ZenBook 14 UX433FN,14.0,7,1,4899.0,0 / 5,2,512
30,2,VivoBook 14 S430FN,14.0,5,1,3199.0,0 / 5,1,256
31,5,MateBook X Pro,13.88,7,1,6999.0,0 / 5,2,512
32,4,Pavilion 14-ce2003nx,14.0,7,2,3799.0,0 / 5,2,512
33,2,X543UB,15.6,7,1,2999.0,0 / 5,2,512
34,4,Pavilion 14-ce2000nx,14.0,7,2,4299.0,0 / 5,2,512
35,4,Pavilion 14-ce2001nx,14.0,7,2,4299.0,0 / 5,2,512
